Project,Category,color
Delta Conveyance Project,Strutural,secondary
California Aqueduct Subsidence Program,Strutural,secondary
Additional South of Delta Storage,Strutural,secondary
Forecast Informed Reservoir Operations,Operations and Management,secondary
SWP Enhanced Asset Management,Operations and Management,secondary
